#DATE#|08.20.2016|#|#|#|#|#|#|#|#|#|#|
Alan Wake||||||||||X, DL||
Assassin's Creed II|||||||||X, BC|X, DL||
Assassin's Creed IV Black Flag|||||||||X, DL|X, DL||
Back to the Future||X||||||||||
Battleblock Theater|||||||||X, BC|X, DL||
Battlefield 1942||||X||||||||
Battlefield 3||||X||||||||
Battlefield: Bad Company 2||||||||||X, DL||
Bejeweled 3||||X||||||||
Besiege||X||||||||||
Borderlands||||||||||X, DL||
Burnout 2: Point of Impact||||||||X||||
Burnout 3: Takedown||||||||||X, DL||
Burnout Crash!||||||||||X, DL||
Burnout Paradise||||||||||X, DL||
Call of Duty: Black Ops 1||||||||||X, DL||
Call of Duty: Black Ops 2||||||||||X, DL||
Call of Duty: Black Ops 3|||||||||X, DK|||
Call of Duty: Ghosts||||||||||X, DK|47875846814|
Call of Duty: Modern Warfare 3||||||||||X, DK|47875842069|
Call of Duty: World at War||||||||||X, DL||
Charlie Murder||||||||||X, DL||
Child Of Light|||||||||X, DL|||
Command and Conquer Red Alert 2||||X||||||||
Crackdown||||||||||X, DL||
Crysis 3||||||||||X, DL||
DDRMAX 2 Dance Dance Revolution||||||||X||||
DDRMAX Dance Dance Revolution||||||||X||||
Dance Central Spotlight|||||||||X, DL|||
Dark Souls||||||||||X, DL||
Daytona USA||||||||||X, DL||
Dead Island||||||||||X, DL||
Dead Rising 2: Case Zero||||||||||X, DL||
Dead Rising 2||||||||||X, DL||
Dead Space||||X||||||X, DL||
Deadlight||||||||||X, DL||
DiRT 3|||||||||X, BC|X, DL||
DiRT Showdown|||||||||X, BC|X, DL||
Dishonored||||||||||X, DL||
Distance||X||||||||||
Doritos Crash Course 2||||||||||X, DL||
Doritos Crash Course|||||||||X, BC|X, DL||
Fruit Ninja Kinect||||||||||X, DL||
Fuzion Frenzy||||||||||X, DL||
GRID 2||X|||||||X, BC|X, DL||
Gears of War 2|||||||||X, BC|X, DL||
Gears of War 3|||||||||X, BC|X, DL||
Gears of War: Judgement|||||||||X, BC|X, DL||
Gears of War|||||||||X, DK|X, DL||
Gotham City Impostors||X||||||||X, DL||
Guitar Hero 2||||||||X||||
Guitar Hero: Aerosmith||||||||X||||
Guitar Hero: Legends of Rock||||||||X||||
Guitar Hero: World Tour||||||||X||||
Guitar Hero||||||||X||||
Half-Life 2 (The Orange Box)||||||||||X, DL||
Halo 3: ODST||||||||||X, DK|885370040159|
Halo 5|||||||||X, DL|||
Halo Master Chief Collection|||||||||X, DL|||
Halo: Reach|||||||||X, BC|X, DL||
Happy Wars||||||||||X, DL||
Harm's Way||||||||||X, DL||
Haunt||||||||||X, DL||
Hexic HD||||||||||X, DL||
How to Survive: Storm Warning|||||||||X, DL|||
Hydro Thunder|||||||||X, BC|X, DL||
IDARB|||||||||X, DL|||
Karaoke||||||||||X, DL||
Killer Instinct|||||||||X, DL|||
Kinect Adventures||||||||||X, DK|717565888225|
Kinect Joy Ride||||||||||X, DK|885370217315|
Kinect Party||||||||||X, DL||
Kinect Sports Rivals|||||||||X, DL|||
Kinect Sports Season 2||||||||||X, DK|885370318562|
Kinect Sports||||||||||X, DK|885370228588|
Knight Squad|||||||||X, DL|||
LEGO Dimensions|||||||||X, DK|||
Left 4 Dead 2||||||||||X, DL||
Limbo|||||||||X, DL|||
Mario Kart Wii|||||||X||||45496901028|
Mars Rover Landing||||||||||X, DL||
Metal Gear Solid V: Ground Zeroes|||||||||X, DL|X, DL||
Metro 2033||||||||||X, DL||
Metro: Last Night||||||||||X, DL||
Motocross Madness|||||||||X, BC|X, DL||
N+|||||||||X, BC|X, DL||
Need for Speed Hot Pursuit 2||||||||X||||
Need for Speed Hot Pursuit||||||||||X, DL||
Need for Speed Most Wanted||||X||||||||
Need for Speed Underground 2||||||||X||||
Need for Speed Underground||||||||X||||
Nitronic Rush||X||||||||||
Operation Flashpoint: Dragon Rising|||||||||X, BC|X, DL||
Ori and the Blind Forest|||||||||X, DL|||
